UI Element Type,Location,Element Name,Sub-Element,Function to be implemented,Icon/Symbol,,
Menu,Top Left,File,Export > Image ,"Exports the PDF pages as image files ask user which format ( JPEG/JPG, PNG, GIF, WebP, AVIF, TIFF, BMP, HEIF/HEIC, RAW variants, etc.) he/she wants the images as well as how many pages to be converted to images after user choose the format convert page/pages to the same and download them",É??,,
Icon Bar,Top Center,Icon Bar,???? (Open),Opens a PDF file/files in multiple tab,????,,
Icon Bar,Top Center,Icon Bar,???? (Save),Saves the current document,????,,
Icon Bar,Top Center,Icon Bar,É?? (Add),Adds new content or pages and can be saved,É??,,
Icon Bar,Top Center,Icon Bar,É?? (Remove),Removes selected content or pages and can be saved,É??,,
Icon Bar,Top Center,Icon Bar,???? (Refresh),Refreshes or reloads the current document,????,,
Icon Bar,Top Center,Icon Bar,???? (Export),"Exports the PDF in various formats(Text, Word,Excel,PPT,Image,PDF/A) give the user to option to choose between (Text, Word,Excel,PPT,Image,PDF/A)  implement  it so that Icon works as desired",????,,
Icon Bar,Top Center,Icon Bar,????ã?è (Print),Prints the current document,????ã?è,,
Tab,Second Row,Home,Hand É??,Hand tool for navigation (pan mode) and moving pdf pages,É??,,
Tab,Second Row,Home,Select É?ùã?è,Selection tool to select and interact with objects make text . Images active for further changes,É?ùã?è,,
Tab,Second Row,Home,Highlight ????,Highlights text with a option given for color choise to user yellow or custom color after that user can save the highlited document,????,,
Tab,Second Row,Home,Edit All É?¨,"Opens ""Edit all"" menu with two sub munu ""Text Edit"" & ""Image Edit""  when selected with Text Edit user will be able to select any text giving option to chenge font, font size, color of text. When selected with Edit Image he will be able to edit the image in MS-Paint and in both the case can save the changes in PDF",É?¨,,
Tab,Second Row,Home,Add Text,"Adds text to the PDF document user will be able to add any text in  any part of the PDF giving option to chenge font, font size, color of text and then user can save the changes in pdf",,,
Tab,Second Row,Home,OCR ????,Optical Character Recognition to extract text from images and can save the same in a file downloadable,????,,
Tab,Second Row,Home,To Image,"Converts PDF pages to image format ask user which format ( JPEG/JPG, PNG, GIF, WebP, AVIF, TIFF, BMP, HEIF/HEIC, RAW variants, etc.) give user option to choose how many pages user wants to convert to images after user choise pages are converted to desired images format download the same",,,
Tab,Second Row,Home,Merge PDF,"Merges multiple PDF files into one, opening multiple pdf in multiple tabs of canvas then user can save the same",,,
Tab,Second Row,Home,Compress PDF,Compresses PDF to reduce file size should be giving user to % compress and it should be compressed to desired lavel and downloaded,,,
Tab,Second Row,Home,Screenshot,Takes a screenshot of the current page,,,
Tab,Second Row,Comment,Highlight,Highlights selected text in the document for further changes user wants,,,
Tab,Second Row,Comment,Underline,Underlines selected text and can be saved in pdf,,,
Tab,Second Row,Comment,Strikeout,Strikes through selected text,,,
Tab,Second Row,Comment,Sticky Note,Adds a sticky note annotation in box form to the document and can be saved ,,,
Tab,Second Row,Comment,Pen / Draw,Allows freehand drawing on the PDF,,,
Tab,Second Row,Comment,Shapes,"Inserts shapes (circles, square, triangle etc) give user select from option given like Sticky Note and can be saved",,,
Tab,Second Row,Comment,Comments Panel,Opens a panel to Add and manage all comments and can be saved,,,
Tab,Second Row,Edit,Edit Text,"Edits existing text in the PDF user will be able to edit any text in  any part of the PDF giving option to change font, font size, color of text and then user can save the changes in pdf",,,
Tab,Second Row,Edit,Edit Image,Edits images embedded in the PDF in MS Paint,,,
Tab,Second Row,Edit,Add Text,"Adds new text to the PDF user will be able to add any text in  any part of the PDF giving option to chenge font, font size, color of text and then user can save the changes in pdf",,,
Tab,Second Row,Edit,Add Image,Adds new images to the PDF giving option to choose imasge from local drive and can savw it in pdf,,,
Tab,Second Row,Edit,Object Select,Selects and manipulates objects on the page giving option to save the changes in pdf,,,
Tab,Second Row,Edit,Align,"Aligns selected objects (left, center, right, top, bottom) and can be saved",,, 
Tab,Second Row,Edit,Rotate,Rotates selected objects or pages and can be saved,,,
Tab,Second Row,Edit,Resize,Resizes selected objects or pages and can be saved,,,
Tab,Second Row,Edit,Crop Page,Crops the selected area of a page and can be saved,,,
Tab,Second Row,Convert,To Image (PNG/JPG),"Converts PDF pages to image files gives user option to choose number of pages as well as between ( JPEG/JPG, PNG, GIF, WebP, AVIF, TIFF, BMP, HEIF/HEIC, RAW variants, etc.) and is downloaded",,,
Tab,Second Row,Convert,To PDF/A,Converts PDF to PDF/A archival format and download the same,,,
Tab,Second Row,Convert,To Text (.txt),Converts PDF content to plain text file and download the same,,,
Tab,Second Row,Page,Insert Page,Inserts a new blank page or copied page from other PDF into the PDF and can be saved,,,
