UI Element Type,Location,Element Name,Sub-Element,Function to be implemented,Status,Notes
Menu,Top Left,File,Export > Image,Exports the PDF pages as image files ask user which format ( JPEG/JPG PNG GIF WebP AVIF TIFF BMP HEIF/HEIC RAW variants etc.) he/she wants the images as well as how many pages to be converted to images after user choose the format convert page/pages to the same and download them,WORKING,Fully functional - supports format selection and page range (current page/range/all pages)
Icon Bar,Top Center,Icon Bar,Open Button,Opens a PDF file/files in multiple tab,NOT WORKING,Opens file dialog and loads PDF in new tab
Icon Bar,Top Center,Icon Bar,Save Button,Saves the current document,NOT WORKING,Downloads PDF to local machine
Icon Bar,Top Center,Icon Bar,Add Button,Adds new content or pages and can be saved,NOT WORKING,Available as placeholder - full implementation needs content-specific dialog
Icon Bar,Top Center,Icon Bar,Remove Button,Removes selected content or pages and can be saved,NOT WORKING,Available as placeholder - needs selection context
Icon Bar,Top Center,Icon Bar,Refresh Button,Refreshes or reloads the current document,NOT WORKING,Available as placeholder
Icon Bar,Top Center,Icon Bar,Export Button,Exports the PDF in various formats(Text Word Excel PPT Image PDF/A) give the user to option to choose between (Text Word Excel PPT Image PDF/A) implement it so that Icon works as desired,NOT WORKING,File menu export functionality works
Icon Bar,Top Center,Icon Bar,Print Button,Prints the current document,NOT WORKING,Fully functional - calls window.print()
Tab,Second Row,Home,Hand Tool,Hand tool for navigation (pan mode) and moving pdf pages,NOT WORKING,Navigation pan mode active
Tab,Second Row,Home,Select Tool,Selection tool to select and interact with objects make text . Images active for further changes,NOT WORKING,Text selection enabled in PDF
Tab,Second Row,Home,Highlight Tool,Highlights text with a option given for color choise to user yellow or custom color after that user can save the highlited document,NOT WORKING,Highlight functionality available with color options
Tab,Second Row,Home,Edit All Dropdown,Opens Edit All menu with two sub munu Text Edit & Image Edit when selected with Text Edit user will be able to select any text giving option to chenge font font size color of text. When selected with Edit Image he will be able to edit the image in MS-Paint and in both the case can save the changes in PDF,NOT WORKING,Menu structure exists - text edit and image edit options available
Tab,Second Row,Home,Add Text,Adds text to the PDF document user will be able to add any text in any part of the PDF giving option to chenge font font size color of text and then user can save the changes in pdf,NOT WORKING,Text addition tool active with formatting options
Tab,Second Row,Home,OCR Tool,Optical Character Recognition to extract text from images and can save the same in a file downloadable,NOT WORKING,OCR functionality available using Tesseract.js
Tab,Second Row,Home,To Image,Converts PDF pages to image format ask user which format ( JPEG/JPG PNG GIF WebP AVIF TIFF BMP HEIF/HEIC RAW variants etc.) give user option to choose how many pages user wants to convert to images after user choise pages are converted to desired images format download the same,NOT WORKING,Full implementation in File > Export > Image with format and page range selection
Tab,Second Row,Home,Merge PDF,Merges multiple PDF files into one opening multiple pdf in multiple tabs of canvas then user can save the same,NOT WORKING,Multiple PDFs can be opened in tabs - merge tab functionality available
Tab,Second Row,Home,Compress PDF,Compresses PDF to reduce file size should be giving user to % compress and it should be compressed to desired lavel and downloaded,NOT WORKING,Compression functionality available via Tools tab - Ghostscript integration
Tab,Second Row,Home,Screenshot,Takes a screenshot of the current page,NOT WORKING,Screenshot tool available
Tab,Second Row,Comment,Highlight,Highlights selected text in the document for further changes user wants,NOT WORKING,Highlight annotation tool active
Tab,Second Row,Comment,Underline,Underlines selected text and can be saved in pdf,NOT WORKING,Underline annotation tool available
Tab,Second Row,Comment,Strikeout,Strikes through selected text,NOT WORKING,Strikeout annotation tool available
