Category,Component Type,Button/UI Element Name,Icon Library,Icon Name,Location,Function,Sub-Items,Parent Component,Status
Navigation,Tab Button,Home Tab,Icons,Home Icon,RibbonBar,Activate home tools,Highlight/Underline/Strikethrough/Pen/Shapes/StickyNote,RibbonBar,Active
Navigation,Tab Button,Edit Tab,Icons,Edit Icon,RibbonBar,Activate edit tools,Edit Text/Edit Image/Add Text/Add Image,RibbonBar,Active
Navigation,Tab Button,Tools Tab,Icons,Tools Icon,RibbonBar,Activate advanced tools,Merge PDF/OCR/Watermark/Sanitize,RibbonBar,Active
Navigation,Tab Button,Page Tab,Icons,Page Icon,RibbonBar,Manage pages,Insert/Delete/Rotate/Reorder/Extract,RibbonBar,Active
Navigation,Tab Button,Convert Tab,Icons,Convert Icon,RibbonBar,Convert formats,Word/Excel/PowerPoint/HTML/Image/Text,RibbonBar,Active
Navigation,Tab Button,Protect Tab,Icons,Lock Icon,RibbonBar,Security options,Encrypt/Set Permissions,RibbonBar,Active
Navigation,Tab Button,Comment Tab,Icons,Comment Icon,RibbonBar,Annotation tools,Comments/Sticky Notes/Markup,RibbonBar,Active
Navigation,Tab Button,Merge Tab,Icons,Merge Icon,RibbonBar,Merge PDFs,PDF Merge Queue,RibbonBar,Active
Navigation,Menu Button,File Menu,Icons,File Icon,RibbonBar,File operations,Open/Save/Recent/Properties,RibbonBar,Active
Tool Button,Primary Tool,Hand Tool,FaHandPaper,Open Hand,HomeTab,Navigate and pan PDF,None,HomeTab,Active
Tool Button,Primary Tool,Selection Tool,FaMousePointer,Mouse Pointer,HomeTab,Select elements on PDF,None,HomeTab,Active
Tool Button,Annotation,Highlight Tool,FaHighlighter,Highlighter,HomeTab,Highlight text,Color Picker,HomeTab,Active
Tool Button,Annotation,Underline Tool,FaUnderline,Underline,HomeTab,Underline text,None,HomeTab,Active
Tool Button,Annotation,Strikethrough Tool,FaStrikethrough,Strikethrough,HomeTab,Strike text,None,HomeTab,Active
Tool Button,Annotation,Pen Tool,FaPen,Pen,HomeTab,Freehand drawing,Color Picker,HomeTab,Active
Tool Button,Annotation,Shape Tool,FaShapes,Shapes,HomeTab,Draw geometric shapes,Shape Selector + Color Picker,HomeTab,Active
Tool Button,Annotation,Sticky Note,FaStickyNote,Sticky Note,HomeTab,Add comment notes,Note Text Input,HomeTab,Active
Edit Button,Edit Operation,Add Text,FiFileText,File Text,EditTab,Add new text,Text Input + Font Selector,EditTab,Active
Edit Button,Edit Operation,Edit Text,FiEdit,Edit,EditTab,Edit existing text,In-place Editor,EditTab,Active
Edit Button,Edit Operation,Edit Image,MdImage,Image,EditTab,Edit images,Image Editor Modal,EditTab,Active
Edit Button,Edit Operation,Add Image,FiImage,Image,EditTab,Insert image,File Selector,EditTab,Active
Conversion Button,Format,Convert to Word,FaFileWord,Word Document,ConvertTab,Export as DOCX,Format Modal,ConvertTab,Active
Conversion Button,Format,Convert to Excel,FaFileExcel,Excel Spreadsheet,ConvertTab,Export as XLSX,Format Modal,ConvertTab,Active
Conversion Button,Format,Convert to PowerPoint,FaFilePowerpoint,Presentation,ConvertTab,Export as PPTX,Format Modal,ConvertTab,Active
Conversion Button,Format,Convert to HTML,MdHtml,HTML,ConvertTab,Export as HTML,Format Modal,ConvertTab,Active
Conversion Button,Format,Export to Image,MdImage,Image,ConvertTab,Export page as image,Image Format Modal,ConvertTab,Active
